manufacturer,model,serial number
Philips,INTELLIVUE MP20,DE54011330
Philips,INTELLIVUE MP20,DE62223081
Philips,INTELLIVUE MP20,DE62229345
Philips,INTELLIVUE MP20,DE72856005
Philips,INTELLIVUE MP30,DE728A5916
Philips,INTELLIVUE MP50,DE82001700
Philips,INTELLIVUE MP50,DE82061694
Philips,INTELLIVUE MP50,DE82061728
Philips,INTELLIVUE MP50,DE82061726
Philips,INTELLIVUE MP50,DE82061785
Philips,INTELLIVUE MP50,DE82061747
Philips,INTELLIVUE MP50,DE82099472
Philips,INTELLIVUE MP50,DE82061749
Philips,INTELLIVUE MP50,DE82061730
Philips,INTELLIVUE MP50,DE82061733
Philips,INTELLIVUE MP50,DE82061720
Philips,INTELLIVUE MP50,82061692
Philips,INTELLIVUE MP50,DE82061717
Philips,INTELLIVUE MP50,DE82061736
Philips,INTELLIVUE MP50,DE82061763
Philips,INTELLIVUE MP50,DE82061695
Philips,INTELLIVUE MP50,DE882061716
Philips,INTELLIVUE MP50,DE82099502
Philips,INTELLIVUE MP50,DE82099483
Philips,INTELLIVUE MP50,DE82061791
Philips,INTELLIVUE MP50,DE820A3726
Philips,INTELLIVUE MX40,3569208
Philips,INTELLIVUE MX40,3569221
Philips,INTELLIVUE MX40,3569227
Philips,INTELLIVUE MX40,2569230
Philips,INTELLIVUE MX40,3569212
Philips,M3002A,DE73608832
Philips,M3002A,DE83623218
Stryker,1061,2021005801196
Stryker,1061,2021005801198
Stryker,1061,109035466
Stryker,1061,2021005801199
Stryker,1061,2022005800690
Stryker,1061,2022005800345
Stryker,1061,2022005800343
Stryker,1061,2022005800691
Stryker,1061,2022005800344
Stryker,1061,2021005801197
Stryker,1115,2017006701271
Stryker,1115,2017006701256
Stryker,1115,2017006701268
Stryker,1115,2017006701273
Stryker,1115,2017006701253
Stryker,1115,2017006701272
Stryker,1115,2017006701266
Stryker,1115,2017006701259
Stryker,1115,2017006701254
Stryker,1115,2017006701257
Stryker,1115,2017006701267
THERMO SCIENTIFIC,SMARTVUE915,18175660D4C1
THERMO SCIENTIFIC,SMARTVUE915,18175660D4D3
THERMO SCIENTIFIC,SMARTVUE915,18175660CABF
THERMO SCIENTIFIC,SMARTVUE915,18355660D0LE
THERMO SCIENTIFIC,SMARTVUE915,18175660CB13
THERMO SCIENTIFIC,SMARTVUE915,18175660CABC
THERMO SCIENTIFIC,SMARTVUE915,181751606DFD
Unico,G380PL LED,G38L-20141208
Welch Allyn,FILAC3000,A2053244X
Welch Allyn,FILAC3000,A202057084X
Welch Allyn,FILAC3000,A2060906X
Welch Allyn,FILAC3000,A2066575X
Welch Allyn,FILAC3000,A2057370X
Welch Allyn,FILAC3000,A2055074X
Welch Allyn,FILAC3000,A2057912X
Welch Allyn,FILAC3000,A2057043X
Welch Allyn,FILAC3000,A1656130X
Welch Allyn,FILAC3000,A1661117X
Welch Allyn,FILAC3000,A1661082X
Welch Allyn,FILAC3000,A1661093X
Welch Allyn,FILAC3000,A1661114X
Welch Allyn,FILAC3000,A1656006X
Welch Allyn,FILAC3000,A1656212X
Welch Allyn,FILAC3000,A1451284X
Welch Allyn,FILAC3000,1863046X
Welch Allyn,FILAC3000,A2062842X
Welch Allyn,FILAC3000,A2060107X
Welch Allyn,FILAC3000,A2066567X
Welch Allyn,FILAC3000,A2057032X
Welch Allyn,FILAC3000,A206611345X
Welch Allyn,FILAC3000,A2066565X
Welch Allyn,FILAC3000,A2055919X
Welch Allyn,FILAC3000,A1257682
Welch Allyn,FILAC3000,A1155231X
Welch Allyn,FILAC3000,A1262471
Welch Allyn,FILAC3000,A1156405
Welch Allyn,FILAC3000,A1156388
Welch Allyn,FILAC3000,A1051223
Welch Allyn,SPOT VITAL SIGNS,201507871
Welch Allyn,SPOT VITAL SIGNS,200810466
Welch Allyn,SPOT VITAL SIGNS,201507902
Welch Allyn,SURETEMPPLUS,7432348
Welch Allyn,SURETEMPPLUS,(21) 23038261
Welch Allyn,SURETEMPPLUS,747969
Welch Allyn,SURETEMPPLUS,7445105
Welch Allyn,SURETEMPPLUS,24519376
Welch Allyn,SURETEMPPLUS,074321PO
ZOLL Medical,AEDPLUS,X22F478419
ZOLL Medical,AEDPLUS,X23L761535
ZOLL Medical,AEDPLUS,(21) X19G176549
ZOLL Medical,AEDPLUS,X22E470885
ZOLL Medical,AEDPLUS,X18E025923
ZOLL Medical,AEDPLUS,X25I944351
ZOLL Medical,AEDPLUS,X25I944935
ZOLL Medical,M SERIES,T09B109955
ZOLL Medical,M SERIES,T04G0718
ZOLL Medical,M SERIES,3T13D131852
ZOLL Medical,M SERIES,T15F135497
ZOLL Medical,M SERIES,T12L131022
ZOLL Medical,M SERIES,T09B109792
ZOLL Medical,M SERIES,T12B127729
ZOLL Medical,M SERIES,D16B136583
ZOLL Medical,M SERIES,T09K116484
ZOLL Medical,M SERIES,T03D45722
ZOLL Medical,M SERIES,T15B135017
ZOLL Medical,M SERIES,T11D124677
ZOLL Medical,M SERIES,t1k132871
ZOLL Medical,M SERIES,T08103497
ZOLL Medical,M SERIES,T14F133985
ZOLL Medical,M SERIES,T04F60157
ZOLL Medical,M SERIES,T098109977
ZOLL Medical,M SERIES,T0787302
ZOLL Medical,M SERIES,T14E133852
ZOLL Medical,M SERIES,T04H61597
ZOLL Medical,M SERIES,T16E136987
ZOLL Medical,M SERIES,T13D131863
ZOLL Medical,M SERIES,T04D57875
ZOLL Medical,M SERIES,T10G121505
ZOLL Medical,M SERIES,T04A54870
ZOLL Medical,M SERIES,T03G48599
ZOLL Medical,M SERIES,T13D131879
ZOLL Medical,M SERIES,T16B136570
ZOLL Medical,M SERIES,T12B127735
ZOLL Medical,RSERIES,AF23L173769
ZOLL Medical,RSERIES,AF23L173935
ZOLL Medical,RSERIES,AF25G186555
ZOLL Medical,RSERIES,AF25J188748
ZOLL Medical,RSERIES,AF23G169205
ZOLL Medical,RSERIES,AF24I180367
ZOLL Medical,RSERIES,AF23G169292
ZOLL Medical,RSERIES,AF23G169321
ZOLL Medical,RSERIES,AF24A174904
ZOLL Medical,RSERIES,AF24A174867
ZOLL Medical,RSERIES,AF24C175990
ZOLL Medical,RSERIES,AF24C175991
ZOLL Medical,RSERIES,AF19A091958
ZOLL Medical,RSERIES,AF23G169315
ZOLL Medical,RSERIES,AF24F178630
ZOLL Medical,RSERIES,AF24G179402
ZOLL Medical,RSERIES,AF24G179173
ZOLL Medical,RSERIES,AF24G178993
ZOLL Medical,RSERIES,AF24G179155
ZOLL Medical,RSERIES,AF24G179510
ZOLL Medical,RSERIES,AF24H179829
ZOLL Medical,RSERIES,AF24G179180
ZOLL Medical,RSERIES,AF24F178395
ZOLL Medical,RSERIES,AF24G179153
ZOLL Medical,RSERIES,AF24G179186
ZOLL Medical,RSERIES,AF24E178300
ZOLL Medical,RSERIES,AF24G179403
ZOLL Medical,RSERIES,AF24G179158
ZOLL Medical,RSERIES,AF25L189983
ZOLL Medical,RSERIES,AF23G169217
ZOLL Medical,R Series Plus,AF11L019703
ZOLL Medical,X Series,AR13L006530
ZOLL Medical,Propaq Md,AI10L000824
ZOLL Medical,R Series ALS,AF16L061223
ZOLL Medical,R Series ALS,AF17D065076
ZOLL Medical,R Series ALS,AF17D065023
ZOLL Medical,R Series ALS,AF17D065078
ZOLL Medical,R Series ALS,AF17D065063
ZOLL Medical,R Series ALS,AV17D064978
ZOLL Medical,R Series ALS,AF17D065082
ZOLL Medical,R Series ALS,AF17D065057
ZOLL Medical,R Series ALS,AF17D065077
ZOLL Medical,R Series ALS,AF17D065075
ZOLL Medical,R Series ALS,AF17D064998
ZOLL Medical,R Series ALS,AF17D065062
ZOLL Medical,R Series,AF17D065064
ZOLL Medical,R Series ALS,AF16C054998
ZOLL Medical,R Series ALS,AF16D055364
ZOLL Medical,R Series ALS,AF16D055704
ZOLL Medical,R Series ALS,AF16H058404
ZOLL Medical,R Series ALS,AF16H057957
ZOLL Medical,R Series ALS,AF16H058410
ZOLL Medical,R Series ALS,AF16H058183
ZOLL Medical,Propaq Md,AI10L000796
ZOLL Medical,Propaq Md,AI10L000816
ZOLL Medical,Propaq Md,AI10L000819
ZOLL Medical,X Series,AR18G033409
ZOLL Medical,X Series,AR21A054264
ZOLL Medical,X Series,AR22L073058
ZOLL Medical,X Series,AR20A045649
ZOLL Medical,Propaq Md,AI11F001156
ZOLL Medical,X Series,AR20C047049
ZOLL Medical,X Series,AR20B046467
ZOLL Medical,X Series,AR20A045327
ZOLL Medical,Propaq Md,ai15c003871
ZOLL Medical,X Series,AR18C030657
ZOLL Medical,X Series,AR20C047039
ZOLL Medical,X Series,AR17B023487
ZOLL Medical,X Series,AR25C090387
ZOLL Medical,X Series,AR22E067679
ZOLL Medical,R Series ALS,AF19B092952
ZOLL Medical,R Series ALS,AF19B092950
ZOLL Medical,R Series ALS,AF19B092199
ZOLL Medical,R Series ALS,AF19B092935
ZOLL Medical,R Series ALS,AF19B092455
ZOLL Medical,R Series ALS,AF19B092465
ZOLL Medical,R Series ALS,AF19B092949
ZOLL Medical,R Series ALS,AF19B092928
ZOLL Medical,R Series ALS,AF19B092207
ZOLL Medical,R Series ALS,AF19B092946
ZOLL Medical,R Series ALS,AF19B092943
ZOLL Medical,R Series ALS,AF19B092936
ZOLL Medical,R Series ALS,AF19B092428
ZOLL Medical,R Series ALS,AF19B092467
ZOLL Medical,R Series ALS,AF19B092223
ZOLL Medical,R Series ALS,AF19B092456
ZOLL Medical,R Series ALS,AF19B092482
ZOLL Medical,R Series ALS,AF19B092446
ZOLL Medical,R Series ALS,AF18L089149
ZOLL Medical,R Series ALS,AF19F099133
ZOLL Medical,R Series ALS,AF19F099132
ZOLL Medical,R Series ALS,AF19F099189
ZOLL Medical,R Series ALS,AF19F099267
ZOLL Medical,R Series ALS,AF19F099254
ZOLL Medical,R Series ALS,AF19D096889
ZOLL Medical,R Series ALS,AF19E096912
ZOLL Medical,R Series ALS,AF19F099305
ZOLL Medical,R Series ALS,AF19F099263
ZOLL Medical,R Series ALS,AF19F099134
ZOLL Medical,R Series ALS,AF19F099298
GE HEALTHCARE,APEX PRO CH,RTS14024388GA
GE HEALTHCARE,APEX PRO CH,RTS14104454GA
GE HEALTHCARE,APEX PRO CH,RTS14104453GA
GE HEALTHCARE,APEX PRO CH,RTS14104456GA
GE HEALTHCARE,APEX PRO CH,RT908362478GA
GE HEALTHCARE,APEX PRO CH,RTS14104450GA
GE HEALTHCARE,APEX PRO CH,RT914166339GA
GE HEALTHCARE,APEX PRO CH,RT914166315GA
GE HEALTHCARE,APEX PRO CH,RT914166362GA
GE HEALTHCARE,APEX PRO CH,RT914166321GA
GE HEALTHCARE,APEX PRO CH,RT916162191SA
GE HEALTHCARE,APEX PRO CH,RT914166380GA
GE HEALTHCARE,APEX PRO CH,RT914166373GA
GE HEALTHCARE,APEX PRO CH,RT914166320GA
GE HEALTHCARE,APEX PRO CH,RT914166336GA
GE HEALTHCARE,APEX PRO CH,RT914166372GA
GE HEALTHCARE,APEX PRO CH,RT914126176GA
GE HEALTHCARE,APEX PRO CH,RT914166337GA
GE HEALTHCARE,APEX PRO CH,RT914126178GA
GE HEALTHCARE,APEX PRO CH,RT916059906GA
ARJO INC.,FLOWTRON,2100053978
ARJO INC.,FLOWTRON,2100054510
ARJO INC.,FLOWTRON,2100067774
ARJO INC.,FLOWTRON,2100054523
ARJO INC.,FLOWTRON,2100054001
ARJO INC.,FLOWTRON,2100054283
ARJO INC.,FLOWTRON,2100054494
ARJO INC.,FLOWTRON,2100054522
ARJO INC.,FLOWTRON,2100054527
ARJO INC.,FLOWTRON,2100064600
ARJO INC.,FLOWTRON,2100064601
ARJO INC.,FLOWTRON,2100053935
ARJO INC.,FLOWTRON,2100053984
ARJO INC.,FLOWTRON,2100053991
ARJO INC.,FLOWTRON,2100064603
ARJO INC.,FLOWTRON,2100053980
ARJO INC.,FLOWTRON,2100053932
ARJO INC.,FLOWTRON,2100053928
ARJO INC.,FLOWTRON,2100054542
ARJO INC.,FLOWTRON,2100054511
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315208552GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219009
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219102GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314358024GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312152525GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315219007GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518384GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315070015GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518261GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496411GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230274GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA312132106GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA3132300157GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281904GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315079992GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310507316GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230430GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA309517777GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230464GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SPX18510114SA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA308511468GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230676GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313219052GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA311069819GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SPX18510041SA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA315281909GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA313230457GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496410GR
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA314326586GA
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA318200468SA
